"Date","Average_Lat","Average_Lon","Trips"
2014-06-12,40.7425456858407,-73.9775957662912,29832
2014-06-13,40.7412937041193,-73.9764747555698,31195
2014-06-14,40.7339104363146,-73.9735639703596,19298
2014-06-15,40.7328725503726,-73.9652719845432,14492
2014-06-16,40.740133875232,-73.9727711818642,17777
2014-06-17,40.7424581356943,-73.9759821872563,21799
2014-06-18,40.7417598961081,-73.9760220973175,24641
2014-06-19,40.7422139403058,-73.9760735575073,28579
2014-06-20,40.7397308973249,-73.9762069329376,24261
2014-06-21,40.7354546526802,-73.9726479170849,19924
2014-06-22,40.7331454517573,-73.9658415567687,16303
2014-06-23,40.7398505047087,-73.9699598206733,17733
2014-06-24,40.7418585330638,-73.9742344980268,20778
2014-06-25,40.7419342127145,-73.9762713583793,26458
2014-06-26,40.7413272484917,-73.9756773642486,28508
2014-06-27,40.7394844524814,-73.9753295037171,24885
2014-06-28,40.7348069076154,-73.9736069264886,21194
2014-06-29,40.7349648194745,-73.969759506115,17089
2014-06-30,40.7404233550843,-73.9727805872757,18390
2014-07-01,40.7415549236713,-73.9773749434602,21224
2014-07-02,40.7422059799033,-73.9777308514657,26472
2014-07-03,40.7402078929084,-73.9736678169438,21589
2014-07-04,40.7323834571045,-73.9662291251149,14139
2014-07-05,40.7297646766627,-73.9627164474289,10871
2014-07-06,40.7296981285527,-73.9535612418015,11435
2014-07-07,40.7385747059145,-73.9678688570334,18277
2014-07-08,40.7410911438112,-73.973597724802,25756
2014-07-09,40.7405000287666,-73.9744379647609,27810
2014-07-10,40.7410081029739,-73.9750669821826,30532
2014-07-11,40.7393298266982,-73.9738890868597,28736
2014-07-12,40.7362784476437,-73.9729960785827,25909
2014-07-13,40.7345728266033,-73.9669387410926,21050
2014-07-14,40.7401339014043,-73.9727501279988,27344
2014-07-15,40.7415737920028,-73.977123137394,33837
2014-07-16,40.7402648003078,-73.9730473700776,28594
2014-07-17,40.7405692660999,-73.9746528583993,30699
2014-07-18,40.7390843449408,-73.9732985286725,29837
2014-07-19,40.7353194040302,-73.971493141679,25706
2014-07-20,40.7338656207238,-73.9644789836267,21193
2014-07-21,40.7400334351404,-73.9699933570883,23574
2014-07-22,40.7419943385824,-73.9742874366838,29021
2014-07-23,40.7416353846154,-73.9757824280681,34060
2014-07-24,40.7405315074906,-73.9740126966292,32040
2014-07-25,40.7385168580585,-73.9723647516357,29956
2014-07-26,40.7353047963016,-73.9701281710488,27688
2014-07-27,40.7346102290347,-73.9647612324458,22573
2014-07-28,40.740342544317,-73.9692134306569,23975
2014-07-29,40.7411172377534,-73.9734224337358,27579
2014-07-30,40.7413692372771,-73.9736205518678,30732
2014-07-31,40.7407302171579,-73.974144168357,33524
2014-08-01,40.7387627343025,-73.9725160037117,32330
2014-08-02,40.7349947094748,-73.9706293491537,28655
2014-08-03,40.7337752530496,-73.9650093044381,23118
2014-08-04,40.7395901379089,-73.9699696039128,24944
2014-08-05,40.7410183171314,-73.9739185307837,28083
2014-08-06,40.740388528032,-73.9738815044451,30483
2014-08-07,40.7404759465071,-73.975157859062,32752
2014-08-08,40.7385309392992,-73.9728652541536,30395
2014-08-09,40.7344260006855,-73.9687953307689,26257
2014-08-10,40.7334891974708,-73.9636046206226,20560
2014-08-11,40.7387354696133,-73.9690879513812,22625
2014-08-12,40.7419096788341,-73.974623959247,29642
2014-08-13,40.7410420596534,-73.9728427515787,29772
2014-08-14,40.7399207474058,-73.9735954091685,30452
2014-08-15,40.7377979760301,-73.9719723517425,28953
2014-08-16,40.7339999885562,-73.9698507037955,26215
2014-08-17,40.7333293631686,-73.9638377000425,21183
2014-08-18,40.7390055208855,-73.9686630301098,21953
2014-08-19,40.7401113098115,-73.971873231835,24828
2014-08-20,40.739752564332,-73.9725418882646,27941
2014-08-21,40.7389180700505,-73.9748071227277,32291
2014-08-22,40.7373273393251,-73.9703541495676,29485
2014-08-23,40.7336079952708,-73.9689715694968,27066
2014-08-24,40.7318888495254,-73.9626690466458,22017
2014-08-25,40.738162075523,-73.9663508104682,22086
2014-08-26,40.7390699731139,-73.9704516335343,24548
2014-08-27,40.739290155498,-73.9707183931877,27010
2014-08-28,40.7387580473642,-73.9693353272467,28587
2014-08-29,40.7373292984568,-73.9670023494218,27411
2014-08-30,40.7353924006692,-73.9635207570054,23910
2014-08-31,40.7344500236529,-73.9630446135982,23253
2014-09-01,40.7328223932224,-73.9553328303589,19948
2014-09-02,40.7393836680889,-73.965978103861,28827
2014-09-03,40.7403054382146,-73.9719789368811,32621
2014-09-04,40.740954848635,-73.9727308075409,38351
2014-09-05,40.7400279711516,-73.9740890541499,42290
2014-09-06,40.7374417673063,-73.9737235953669,40491
2014-09-07,40.7352309511944,-73.9667106349048,30099
2014-09-08,40.7405445019107,-73.9706766372381,30356
2014-09-09,40.741243508711,-73.9762424263472,34554
2014-09-10,40.74082764085,-73.9758570055978,35907
2014-09-11,40.7406902256258,-73.9750199055775,36432
2014-09-12,40.7393232637571,-73.9732494067046,39525
2014-09-13,40.737192238723,-73.9745639089035,43163
2014-09-14,40.734629949094,-73.9668455768752,28091
2014-09-15,40.7401931076631,-73.970966624792,29453
2014-09-16,40.7418562948594,-73.9752608590827,36085
2014-09-17,40.7407021366439,-73.9739950060524,35523
2014-09-18,40.7407737285189,-73.9735444000199,40268
2014-09-19,40.739709650278,-73.9723822431958,41004
2014-09-20,40.7374745680665,-73.9725996523933,38837
2014-09-21,40.7348078836867,-73.9660723038701,28578
2014-09-22,40.7410249947,-73.9697146279415,28302
2014-09-23,40.7411261837981,-73.9728530704504,30305
2014-09-24,40.7408665292426,-73.9713182454458,31290
2014-09-25,40.7412912056552,-73.9736290430685,38195
2014-09-26,40.7388467708806,-73.9732465094566,37487
2014-09-27,40.737512792939,-73.9722189839708,39428
2014-09-28,40.7346113598001,-73.9653097022483,29622
2014-09-29,40.7395905926687,-73.9693074306269,29190
2014-09-30,40.741463520225,-73.9734868208473,33424
